"row_type","sample_cycle","observed_at_local","seconds_since_start","seconds_since_water_start","test_name","phase_label","basket_id","emitter_location","placement_label","sensor_position_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","visual_note","handheld_note","note","error"
"data","525","2026-05-22 19:01:29","90001.4","89401.3","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 19:01:28","82.8","81.0","85.0","1574","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","525","2026-05-22 19:01:29","90001.5","89401.3","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 19:01:28","81.1","70.0","81.0","1679","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","526","2026-05-22 19:06:28","90300.7","89700.6","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 19:06:27","82.6","81.0","99.0","1232","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","526","2026-05-22 19:06:29","90300.8","89700.6","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 19:06:27","82.0","70.0","81.0","1683","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","527","2026-05-22 19:11:29","90600.9","90000.8","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 19:11:27","82.4","81.0","86.0","1570","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","527","2026-05-22 19:11:29","90601","90000.8","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 19:11:27","81.3","69.0","82.0","1656","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","528","2026-05-22 19:16:29","90901.2","90301","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 19:16:28","84.0","80.0","86.0","1552","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","528","2026-05-22 19:16:29","90901.2","90301","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 19:16:28","81.0","69.0","81.0","1684","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","529","2026-05-22 19:21:29","91201.4","90601.3","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 19:21:28","82.6","80.0","85.0","1574","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","529","2026-05-22 19:21:30","91201.8","90601.3","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 19:21:28","81.3","69.0","80.0","1698","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","530","2026-05-22 19:26:29","91500.9","90900.8","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 19:26:27","83.1","81.0","86.0","1570","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
"data","530","2026-05-22 19:26:29","91501","90900.8","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B6","B6E2","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B6E2 scout sensor location","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-22 19:26:27","81.3","70.0","81.0","1694","False","2026-05-21 19:46:01","15","","","60-second watering response; continuous capture until manually stopped",""
"data","531","2026-05-22 19:31:29","91801.2","91201","phase6k1_b3e1_vs_b6e2_60s_watering_response","long_term_post_watering_retention","B3","B3E1","SM01 at B3E1; SM02 at B6E2; 60-second watering response","B3E1 installed balcony sensor location","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-22 19:31:28","82.8","81.0","86.0","1558","False","2026-05-21 18:11:47","60","","","60-second watering response; continuous capture until manually stopped",""
