"sample_cycle","observed_at_local","condition_label","placement_label","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","note","error"
"19","2026-05-19 17:47:11","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:47:08","83.1","63.0","74.0","1853","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"20","2026-05-19 17:49:11","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:49:09","85.6","68.0","72.0","1897","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"20","2026-05-19 17:49:11","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:49:09","82.4","63.0","75.0","1826","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"21","2026-05-19 17:51:11","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:51:09","85.1","68.0","72.0","1895","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"21","2026-05-19 17:51:11","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:51:09","83.5","63.0","75.0","1835","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"22","2026-05-19 17:53:12","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:53:09","84.7","69.0","73.0","1878","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"22","2026-05-19 17:53:12","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:53:09","83.8","64.0","75.0","1840","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"23","2026-05-19 17:55:12","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:55:10","85.1","69.0","72.0","1903","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"23","2026-05-19 17:55:12","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 17:55:09","84.0","64.0","75.0","1826","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
"24","2026-05-19 17:57:12","baseline_no_watering_after_balcony_reflash","original_installed_sensor_area_with_scout_within_approx_6in","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 17:57:10","82.6","70.0","72.0","1897","False","N/A","0","Baseline no-watering capture after balcony reflash; sensors remain in original placement",""
