"sample_cycle","observed_at_local","test_name","condition_phase","basket_id","emitter_location","placement_label","script_start","planned_water_start","planned_water_end","planned_water_duration_s","device_name","ip","role","expected_device_id","device_id","device_id_match","dht_sensor_id","moisture_sensor_id","device_timestamp","temperature_f","humidity_percent","moisture_index","soil_raw_adc","watering","last_watered_time","last_watering_duration","visual_note","holdall_moisture_note","error"
"21","2026-05-19 20:41:16","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:41:14","78.4","72.0","75.0","1826","False","N/A","0","","",""
"22","2026-05-19 20:41:31","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:41:29","79.5","82.0","75.0","1842","False","2026-05-19 20:38:41","40","","",""
"22","2026-05-19 20:41:31","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:41:29","77.5","72.0","75.0","1834","False","N/A","0","","",""
"23","2026-05-19 20:41:47","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:41:44","80.2","82.0","75.0","1840","False","2026-05-19 20:38:41","40","","",""
"23","2026-05-19 20:41:47","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:41:44","77.0","72.0","76.0","1810","False","N/A","0","","",""
"24","2026-05-19 20:42:02","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:42:00","79.9","82.0","75.0","1842","False","2026-05-19 20:38:41","40","","",""
"24","2026-05-19 20:42:02","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:41:59","77.2","72.0","76.0","1806","False","N/A","0","","",""
"25","2026-05-19 20:42:17","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:42:15","79.7","82.0","75.0","1839","False","2026-05-19 20:38:41","40","","",""
"25","2026-05-19 20:42:17","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","balcony-scout-01","10.0.0.180","sensor-scout","28f4e6e3-5979-4af4-9753-34e185d8e47e","28f4e6e3-5979-4af4-9753-34e185d8e47e","True","DHT02","SM02","2026-05-19 20:42:15","77.0","72.0","75.0","1837","False","N/A","0","","",""
"26","2026-05-19 20:42:32","phase6k1_b3e1_40s_watering_response","post_watering_0_to_10_min","B3","B3E1","B3E1_fixed_pair_original_sensor_area","2026-05-19 20:36:09","2026-05-19 20:38:09","2026-05-19 20:38:49","40","installed-balcony-unit","10.0.0.200","controller","550e8400-e29b-41d4-a716-446655440000","550e8400-e29b-41d4-a716-446655440000","True","DHT01","SM01","2026-05-19 20:42:30","79.3","82.0","75.0","1842","False","2026-05-19 20:38:41","40","","",""
